D;K;O;DATA:;2024-12-12 00:00:00
PLANO DE SAÚDE;X;VB;8000.00;8000.00
redução de cordoalha engraxada 15,2 / cab. De ancoragens/ cunhas /tampa plast. / argamassa / bainhas;x;VB;-73912.47;-73912.47
ESCORAS NOVAS;X;UNID.;3500.00;87500.00
guindaste de apoio ;x;dia;3000.00;180000.00
caminhão munck apoio;x;dia;2000.00;60000.00
PRÉ-MOLDADOS INTERNOS TERCEIROS;x;VB;1123809.50;4495238.00
DAQUI PARA BAIXO SÃO VALORES DE APOIO PARA CUSTO DE FABRICAÇÃO E AMORTIZAÇÃO;;;;
KIT - MONTAGEM;QUANT.;UNID.;Preço unit.;Preço Total
"CORDA DE POLIAMIDA 1/2""";100.00;m;1.80;180.00
BROCA SDS Plus  DIÂMETRO 16 mm x 250 mm;5.00;unid.;20.90;0.00
BROCA MISTURADORA PARA PRODUTOS BICOMPONENTES;1.00;unid.;40.00;0.00
"JOGO DE CHAVE COMBINADA 1/4"" à 2""";2.00;unid.;290.00;0.00
"CHAVE DE BOCA INGLESA 2 1/2""";1.00;unid.;22.76;0.00
"ALAVANCA DE FERRO 1"" x 2 m";2.00;unid.;47.00;0.00
TRENA METÁLICA DE 30 m;1.00;unid.;89.00;0.00
TRENA METÁLICA DE 5 m;3.00;unid.;11.00;0.00
"CHAVE DE GRIFO 2 1/2""";1.00;unid.;399.00;0.00
"ALICATE DE PRESSÃO 2""";1.00;unid.;25.00;0.00
ROLDANA DE 150mm;2.00;unid.;65.00;0.00
ALICATE COMUM;2.00;unid.;18.90;0.00
JOGO DE CHAVE DE FENDA ( com 10 unid.);2.00;unid.;28.25;0.00
"JOGO DE CHAVE CACHIMBO 1/4"" à 1""";1.00;unid.;461.00;0.00
ESCADA EXTENSIVA DE ALUMÍNIO 10m;1.00;unid.;650.00;0.00
ESCADA ABRIR DE ALUMÍNIO 2m;2.00;unid.;182.00;0.00
MALÃO METÁLICO 2 x 1,2 x 1m;1.00;unid.;1000.00;0.00
